Participant	ImageID	Expected	Predicted
2EU3	150433	YES	NO
2EU3	2381808	YES	YES
2EU3	2386367	YES	YES
2EU3	2404438	YES	YES
2EU3	2412124	YES	YES
2UWA	150433	YES	NO
2UWA	2360226	YES	NO
2UWA	2373286	YES	YES
2UWA	2405721	YES	YES
2UWA	2412124	YES	YES
2UWA	2413290	YES	YES
GBQS	150433	NO	NO
GBQS	2324702	NO	YES
GBQS	2369145	YES	YES
GBQS	2386244	YES	YES
WNTO	150433	YES	NO
WNTO	2353706	YES	YES
WNTO	2377261	YES	YES
WNTO	2399953	YES	YES
WNTO	2412873	YES	YES
WNTO	2413290	YES	YES
WNTO	2417492	YES	YES
WNTO	2417782	YES	YES
21QP	2317852	YES	YES
21QP	2324151	YES	YES
21QP	2324417	YES	YES
21QP	2330572	NO	NO
21QP	2352208	NO	NO
21QP	2397474	YES	YES
21QP	2401559	YES	YES
HDPJ	1593076	YES	YES
HDPJ	2337219	YES	YES
HDPJ	2352910	NO	YES
HDPJ	2405054	NO	YES
T9YT	2352910	NO	YES
T9YT	2382026	NO	YES
T9YT	2401559	YES	YES
URA1	1593076	YES	YES
URA1	2341126	YES	YES
APKR	2316130	YES	YES
APKR	2316625	YES	YES
APKR	2322535	YES	YES
APKR	2348958	YES	YES
APKR	2365758	YES	YES
APKR	2372159	YES	YES
APKR	2377799	YES	YES
CEOP	2316130	NO	YES
CEOP	2318166	NO	NO
CEOP	2326113	NO	YES
CEOP	2335461	NO	YES
CEOP	2360775	YES	YES
HXWO	2316130	NO	YES
HXWO	2335461	NO	YES
HXWO	2360775	YES	YES
HXWO	2377799	YES	YES
HXWO	2380125	NO	YES
HXWO	2383548	NO	YES
S3ZK	2335461	YES	YES
S3ZK	2348958	YES	YES
S3ZK	2388996	YES	YES
S3ZK	29	YES	YES
FMAU	2316625	YES	YES
FMAU	2317678	YES	YES
FMAU	2378731	NO	YES
FMAU	2385290	YES	YES
FMAU	2388996	YES	YES
